student_id,interest,attendance,study_hours,grade_math,grade_physics,grade_literature,grade_biology,grade_chemistry,stress_level,stress_label,interest_label
278,3,70.0,15,20,25,31,28,40,3,medium,medium
279,5,65.0,17,42,21,32,28,25,2,low,very_high
280,3,100.0,9,20,20,22,36,20,2,low,medium
281,2,61.0,11,21,20,35,20,24,4,high,low
282,2,89.0,9,20,20,27,20,27,2,low,low
283,3,95.0,12,35,20,22,28,26,3,medium,medium
284,1,94.0,4,20,20,20,20,20,2,low,very_low
285,1,98.0,4,20,20,20,20,20,3,medium,very_low
286,2,82.0,13,20,20,20,20,20,2,low,low
287,3,87.0,8,21,36,20,31,20,4,high,medium
288,2,74.0,13,20,20,21,20,20,3,medium,low
289,4,68.0,19,24,24,38,27,36,4,high,high
290,4,86.0,20,28,31,22,20,35,4,high,high
291,1,100.0,11,26,20,20,20,20,1,very_low,very_low
292,2,69.0,21,26,37,20,20,20,3,medium,low
293,3,60.0,16,25,26,20,20,26,3,medium,medium
294,4,92.0,12,32,24,31,31,45,4,high,high
295,3,79.0,14,21,32,20,20,20,3,medium,medium
296,4,69.0,16,20,24,32,31,31,3,medium,high
297,5,86.0,14,20,20,23,28,20,3,medium,very_high
298,3,71.0,15,20,20,37,27,22,2,low,medium
299,5,89.0,20,31,27,41,24,39,5,very_high,very_high
300,3,75.0,14,28,27,20,20,24,4,high,medium
301,1,74.0,9,20,20,20,20,20,2,low,very_low
302,2,100.0,10,20,20,21,20,20,3,medium,low
303,3,71.0,9,20,21,20,20,31,3,medium,medium
304,3,72.0,11,34,31,31,20,28,4,high,medium
305,1,89.0,6,20,20,20,20,20,4,high,very_low
306,2,57.0,13,27,24,26,20,43,3,medium,low
307,3,92.0,14,39,40,34,33,22,3,medium,medium
308,3,90.0,15,24,35,54,30,20,2,low,medium
309,2,95.0,8,20,20,25,23,20,4,high,low
310,2,86.0,5,20,26,20,24,20,1,very_low,low
311,5,73.0,14,41,36,25,34,50,4,high,very_high
312,2,85.0,15,23,24,30,36,21,4,high,low
313,2,100.0,8,20,20,20,20,20,5,very_high,low
314,3,86.0,16,42,20,35,35,22,3,medium,medium
315,3,73.0,6,20,32,23,22,27,4,high,medium
316,4,83.0,11,39,28,24,23,30,2,low,high
317,5,90.0,24,57,32,42,35,34,4,high,very_high
318,3,88.0,9,20,20,25,20,26,3,medium,medium
319,5,95.0,16,46,25,21,40,32,4,high,very_high
320,3,89.0,13,20,25,45,20,22,1,very_low,medium
321,2,97.0,8,20,21,20,21,20,2,low,low
322,5,95.0,13,34,38,34,41,36,3,medium,very_high
323,3,88.0,12,31,22,25,34,20,3,medium,medium
324,3,86.0,16,37,23,30,26,25,1,very_low,medium
325,2,70.0,13,34,20,20,25,20,2,low,low
326,3,92.0,7,28,20,26,31,23,2,low,medium
327,5,81.0,18,34,25,34,41,32,3,medium,very_high
328,5,66.0,18,25,27,29,52,40,2,low,very_high
329,1,100.0,4,20,20,20,26,26,2,low,very_low
330,3,69.0,10,22,31,25,22,31,2,low,medium
331,3,96.0,12,34,24,29,25,37,3,medium,medium
332,1,70.0,10,20,20,20,20,20,2,low,very_low
333,2,66.0,10,30,27,21,20,20,2,low,low
334,2,85.0,15,20,26,29,26,20,1,very_low,low
335,5,80.0,14,26,24,39,32,40,3,medium,very_high
336,3,100.0,9,20,33,32,28,25,3,medium,medium
337,1,85.0,4,20,20,20,28,20,3,medium,very_low
338,4,73.0,14,27,36,35,32,24,3,medium,high
339,4,100.0,18,36,27,27,20,32,2,low,high
340,3,90.0,17,32,24,23,22,20,2,low,medium
341,2,88.0,5,20,23,29,23,20,4,high,low
342,1,81.0,10,20,20,20,23,20,2,low,very_low
343,3,75.0,9,26,20,20,25,24,2,low,medium
344,3,77.0,9,36,28,20,20,20,3,medium,medium
345,4,90.0,11,27,30,42,33,30,3,medium,high
346,5,63.0,22,33,23,25,45,33,1,very_low,very_high
347,1,84.0,15,20,20,20,20,20,2,low,very_low
348,2,89.0,5,20,20,26,20,24,2,low,low
349,4,75.0,11,20,35,35,29,36,4,high,high
350,5,81.0,20,38,38,46,43,38,3,medium,very_high
351,4,68.0,14,38,25,26,39,30,3,medium,high
352,4,83.0,20,28,30,47,20,25,4,high,high
353,2,64.0,6,20,20,27,20,20,4,high,low
354,3,73.0,9,20,23,30,20,20,4,high,medium
355,2,91.0,8,20,20,20,31,20,3,medium,low
356,1,73.0,10,20,20,20,22,22,3,medium,very_low
357,1,63.0,15,20,20,20,25,20,3,medium,very_low
358,5,84.0,22,61,32,34,30,39,3,medium,very_high
359,3,75.0,16,20,28,29,20,29,2,low,medium
360,1,100.0,13,20,20,25,20,20,3,medium,very_low
361,1,100.0,4,20,20,20,20,23,4,high,very_low
362,1,80.0,8,20,20,20,20,22,4,high,very_low
363,4,71.0,17,22,36,26,23,23,3,medium,high
364,1,67.0,4,20,20,20,20,20,2,low,very_low
365,3,49.0,10,23,20,20,30,20,5,very_high,medium
366,5,78.0,19,49,36,34,20,44,3,medium,very_high
367,3,100.0,12,20,24,37,25,38,1,very_low,medium
368,5,49.0,14,28,48,37,26,28,2,low,very_high
369,2,71.0,12,24,20,20,20,20,3,medium,low
370,4,81.0,20,47,33,25,38,31,3,medium,high
371,3,64.0,10,28,20,30,24,20,2,low,medium
372,3,94.0,13,39,31,20,25,20,2,low,medium
373,3,87.0,12,26,32,30,23,22,3,medium,medium
374,4,60.0,13,44,20,30,27,20,4,high,high
375,4,100.0,13,20,30,41,36,43,3,medium,high
376,1,76.0,8,20,20,20,20,20,4,high,very_low
377,3,70.0,12,31,22,33,20,20,3,medium,medium
378,3,92.0,16,20,35,20,26,22,4,high,medium
379,1,86.0,10,20,20,26,20,21,1,very_low,very_low
380,3,87.0,9,20,20,25,29,20,4,high,medium
381,2,89.0,8,26,20,20,20,22,2,low,low
382,3,88.0,13,29,25,22,21,23,5,very_high,medium
383,3,92.0,21,29,27,24,20,20,2,low,medium
384,3,81.0,6,20,20,24,30,20,3,medium,medium
385,4,72.0,14,36,31,24,20,41,2,low,high
386,2,92.0,14,20,24,20,30,20,2,low,low
387,1,90.0,4,20,20,20,20,23,5,very_high,very_low
388,3,59.0,12,20,23,20,24,20,3,medium,medium
389,4,86.0,10,27,29,30,34,31,4,high,high
390,1,83.0,11,22,20,28,27,20,3,medium,very_low
391,2,79.0,17,25,20,24,22,20,3,medium,low
392,3,92.0,9,20,26,20,20,31,1,very_low,medium
393,1,52.0,4,20,20,20,22,20,2,low,very_low
394,5,83.0,17,46,25,29,34,28,1,very_low,very_high
395,2,60.0,15,21,20,20,22,22,3,medium,low
396,1,100.0,11,22,20,20,21,20,3,medium,very_low
397,4,64.0,8,27,26,31,31,33,4,high,high
398,2,89.0,11,20,25,21,20,27,1,very_low,low
399,1,94.0,13,23,20,20,20,20,3,medium,very_low
400,3,62.0,11,26,22,31,28,27,3,medium,medium
401,2,85.0,15,21,24,20,20,20,3,medium,low
402,2,91.0,15,20,32,20,20,21,2,low,low
403,1,61.0,12,20,20,24,20,20,3,medium,very_low
404,4,69.0,21,44,41,20,24,20,3,medium,high
405,2,57.0,12,20,20,20,20,20,3,medium,low
406,1,58.0,7,20,20,20,25,23,3,medium,very_low
407,2,68.0,5,20,20,20,20,20,2,low,low
408,1,54.0,9,20,20,20,20,20,2,low,very_low
409,5,54.0,22,38,20,33,46,41,2,low,very_high
410,3,95.0,16,20,43,20,31,26,4,high,medium
411,1,85.0,6,34,20,21,20,20,3,medium,very_low
412,4,86.0,11,30,33,33,34,38,3,medium,high
413,3,100.0,13,20,31,34,33,23,3,medium,medium
414,5,87.0,21,32,37,20,59,34,4,high,very_high
415,4,100.0,13,21,22,33,38,21,5,very_high,high
416,1,49.0,16,20,20,20,25,25,4,high,very_low
417,4,56.0,18,43,38,20,34,28,3,medium,high
418,2,80.0,14,20,20,28,20,31,3,medium,low
419,3,67.0,16,20,29,20,21,20,4,high,medium
420,4,65.0,14,26,39,30,34,25,2,low,high
421,5,59.0,23,22,39,32,32,34,3,medium,very_high
422,3,66.0,11,21,24,25,20,20,4,high,medium
423,1,99.0,6,23,29,27,20,26,3,medium,very_low
424,3,68.0,6,20,20,30,32,33,4,high,medium
425,3,100.0,13,45,28,31,21,20,3,medium,medium
426,4,72.0,11,26,20,29,35,30,3,medium,high
427,5,41.0,13,24,27,29,34,48,4,high,very_high
428,4,91.0,13,29,35,33,40,33,4,high,high
429,2,55.0,11,20,21,28,24,20,2,low,low
430,2,55.0,12,20,21,21,20,20,2,low,low
431,5,67.0,17,35,20,34,36,52,3,medium,very_high
432,3,61.0,12,26,20,20,36,20,2,low,medium
433,3,83.0,17,27,21,20,28,20,4,high,medium
434,5,60.0,16,24,32,40,41,29,3,medium,very_high
435,4,46.0,12,22,27,36,24,23,2,low,high
436,3,95.0,10,21,37,24,20,27,3,medium,medium
437,2,96.0,9,20,20,20,23,20,2,low,low
438,1,73.0,6,20,20,20,20,20,2,low,very_low
439,2,88.0,8,20,20,27,20,20,4,high,low
440,4,72.0,17,38,40,24,31,26,4,high,high
441,5,77.0,15,32,26,40,29,25,2,low,very_high
442,4,85.0,11,27,33,27,20,34,4,high,high
443,2,79.0,9,20,20,20,29,21,2,low,low
444,4,80.0,15,42,20,28,20,31,4,high,high
445,5,79.0,19,20,28,32,24,29,4,high,very_high
446,2,88.0,9,20,20,30,20,20,4,high,low
447,4,91.0,18,22,38,27,30,36,5,very_high,high
448,2,72.0,10,20,20,20,20,20,2,low,low
449,3,79.0,12,24,20,27,36,22,3,medium,medium
450,5,42.0,13,41,37,29,29,28,3,medium,very_high
451,5,67.0,14,25,30,34,26,26,2,low,very_high
452,5,87.0,15,34,21,45,28,20,3,medium,very_high
453,1,81.0,4,20,20,20,20,20,1,very_low,very_low
454,2,100.0,9,20,20,21,25,20,2,low,low
455,3,60.0,11,26,36,20,20,31,3,medium,medium
456,5,65.0,16,50,32,32,45,35,4,high,very_high
457,3,96.0,18,26,27,20,24,27,2,low,medium
458,4,62.0,17,28,43,20,46,44,4,high,high
459,2,64.0,13,20,21,20,21,26,5,very_high,low
460,5,77.0,18,52,36,38,33,38,3,medium,very_high
461,3,79.0,14,27,28,36,22,32,2,low,medium
462,4,100.0,12,30,29,38,21,33,3,medium,high
463,1,90.0,11,20,20,20,20,24,2,low,very_low
464,4,99.0,15,20,26,33,39,25,2,low,high
465,5,39.0,14,26,35,41,20,24,3,medium,very_high
466,3,79.0,10,20,25,20,20,23,3,medium,medium
467,3,56.0,17,20,22,26,44,24,2,low,medium
468,2,99.0,14,20,33,26,20,26,2,low,low
469,1,69.0,4,32,29,20,20,20,2,low,very_low
470,1,73.0,7,20,20,20,20,20,3,medium,very_low
471,2,83.0,9,22,22,20,20,20,3,medium,low
472,5,76.0,19,39,36,42,29,34,3,medium,very_high
473,5,60.0,10,42,27,38,21,41,3,medium,very_high
474,3,70.0,19,21,20,23,20,26,3,medium,medium
475,5,58.0,14,27,28,39,32,20,3,medium,very_high
476,2,77.0,16,20,20,20,20,20,2,low,low
477,4,85.0,12,31,33,39,30,20,2,low,high
478,4,73.0,22,29,29,29,41,22,5,very_high,high
479,2,75.0,11,22,20,20,20,30,4,high,low
480,4,100.0,14,37,29,27,44,20,1,very_low,high
481,2,93.0,11,20,20,33,20,20,3,medium,low
482,1,62.0,10,20,20,20,20,20,2,low,very_low
483,2,80.0,7,20,25,22,20,30,4,high,low
484,2,92.0,5,20,27,20,27,20,3,medium,low
485,4,88.0,11,30,20,20,24,20,3,medium,high
486,4,75.0,12,35,36,30,30,20,3,medium,high
487,4,57.0,9,29,31,20,41,23,2,low,high
488,5,86.0,10,40,33,47,20,49,3,medium,very_high
489,5,70.0,22,26,36,39,50,43,2,low,very_high
490,5,89.0,11,50,36,33,36,33,2,low,very_high
491,3,68.0,19,26,21,26,32,30,4,high,medium
492,4,80.0,22,37,25,36,38,23,2,low,high
493,1,78.0,4,20,20,20,20,20,3,medium,very_low
494,3,92.0,11,20,24,26,22,20,3,medium,medium
495,3,78.0,7,20,20,34,37,20,2,low,medium
496,4,68.0,11,30,22,22,35,33,3,medium,high
497,4,75.0,12,24,34,20,24,35,2,low,high
498,4,84.0,25,44,38,33,46,27,3,medium,high
499,1,64.0,7,25,20,20,20,20,2,low,very_low
500,4,85.0,16,38,25,35,38,29,3,medium,high
501,4,54.0,16,20,20,31,28,27,3,medium,high
502,4,79.0,14,29,25,32,32,37,3,medium,high
503,1,85.0,9,20,20,23,20,21,3,medium,very_low
